state,institution,city,specialty,program_code,quota_2026,filled_2026,quota_2025,filled_2025,quota_2024,filled_2024,quota_2023,filled_2023,quota_2022,filled_2022
Alabama,Baptist Health-AL,Birmingham,Internal Medicine,1903140C0,10,10,10,9,10,10,10,10,10,8
Alabama,Baptist Health-AL,Birmingham,Medicine-Preliminary,1903140P0,5,5,4,4,3,3,4,2,,
Alabama,Baptist Health-AL,Birmingham,Radiology-Diagnostic,1903420C0,4,4,4,4,4,4,4,4,4,4
Alabama,Baptist Health-AL,Birmingham,General Surgery,1903440C0,5,5,5,5,5,5,5,5,5,5
Alabama,Baptist Health-AL,Birmingham,Surgery-Preliminary,1903440P0,5,4,5,3,5,4,3,1,3,3
Alabama,Transitional,,Transitional/UAB RadOnc,1903999P1,1,1,1,1,,,,,,
Alabama,Montgomery,,Family Medicine,3082120C0,8,8,8,8,8,8,8,8,8,8
Alabama,Birmingham,,Med-Prelim/UAB PM&R,1903140P1,,,,,,,,,4,4
Alabama,Birmingham,,Pathology,1903300C0,,,,,,,,,2,1
Alabama,Centreville,,Family Medicine/Rural,1590120C0,5,2,5,5,5,1,5,5,5,5
Alabama,Centreville,,Family Medicine/Urban,1590120C1,7,7,7,7,7,7,7,7,7,7
Alabama,Centreville,,Family Medicine/Frontier,1590120C2,4,3,4,4,4,4,4,4,4,4
Alabama,Centreville,,Family Medicine/Highlands,1590120C3,4,4,4,4,4,3,4,4,,
Alabama,Crestwood Med Ctr,Huntsville,Family Medicine,2345120C0,,,,,,,8,8,,
Alabama,Crestwood Med Ctr,Huntsville,Internal Medicine,2345140C0,,,,,,,12,12,,
Alabama,East Alabama Med Ctr,Opelika,Internal Medicine,2265140C0,14,4,15,7,10,10,10,10,10,10
Alabama,East Alabama Med Ctr,Opelika,Psychiatry,2265400C0,6,3,8,8,,,,,,
Alabama,Mobile,,Family Medicine,2500120C0,4,4,,,,,,,,
Alabama,Gadsden,,Family Medicine,2315120C0,,,,,,,,,6,6
Alabama,Phenix City,,Orthopaedic Surgery,2233260C0,3,3,3,3,3,3,3,3,3,3
Alabama,Montgomery,,Family Medicine,2357120C0,,,6,0,6,6,6,6,,
Alabama,Mobile,,Internal Medicine,2405140C0,26,26,21,21,25,25,,,,
Alabama,Mobile,,Medicine-Primary,2405140M0,2,2,2,2,,,,,,
Alabama,Mobile,,Med-Primary/Hospitalist,2405140M1,3,3,2,2,,,,,,
Alabama,Mobile,,Medicine-Preliminary,2405140P0,5,0,10,2,10,6,,,,
Alabama,North Alabama Med Ctr,Florence,Internal Medicine,2239140C0,16,16,18,18,19,19,19,13,12,12
Alabama,North Alabama Med Ctr,Florence,Psychiatry,2239400C0,5,5,6,6,5,5,,,,
Alabama,South Baldwin Reg Med Ctr-AL,Foley,Family Medicine,2143120C0,,,,,,,,,11,11
Alabama,Southeast Health-AL,Dothan,Internal Medicine,2132140C0,16,14,16,16,16,16,16,16,16,16
Alabama,Southeast Health-AL,Dothan,Transitional,2132999P0,12,7,12,8,12,10,12,7,12,12
Alabama,Fairhope,,Internal Medicine,2271140C0,14,2,14,4,14,7,14,10,14,7
Alabama,Tuscaloosa,,Family Medicine,2955120C0,17,16,16,8,16,11,16,14,16,16
Alabama,Tuscaloosa,,Psychiatry,2955400C0,6,3,,,,,,,,
Alabama,Birmingham,,Anesthesiology,1007040C0,20,20,21,21,20,20,20,20,21,21
Alabama,Birmingham,,Anesthesiology/Research,1007040C1,1,1,,,1,1,1,1,,
Alabama,Birmingham,,Dermatology,1007080A0,5,5,5,5,5,5,5,5,5,5
Alabama,Birmingham,,Dermatology/Rural,1007080A2,1,1,,,,,1,1,,
Alabama,Birmingham,,Emergency Medicine,1007110C0,12,12,12,12,12,12,12,12,12,12
Alabama,Birmingham,Internal Medicine,Int Med/ABIM Research Pathway,1007140C2,1,0,2,2,1,0,1,1,2,2
Alabama,Birmingham,Internal Medicine,Neurological Surgery,1007160C0,3,3,3,3,3,3,3,3,3,3
Alabama,Birmingham,Internal Medicine,Neurology,1007180C0,10,10,10,10,9,9,9,9,9,9
Alabama,Birmingham,Internal Medicine,Child Neurology,1007185C0,2,2,2,1,2,2,2,2,2,2
Alabama,U Alabama Hospital-Birmingham,Birmingham,Obstetrics-Gynecology,1007220C0,8,8,8,8,8,8,8,8,8,8
Alabama,U Alabama Hospital-Birmingham,Birmingham,Orthopaedic Surgery,1007260C0,6,6,6,6,6,6,6,6,6,6
Alabama,Otolaryngology,,Pathology,1007300C0,7,7,6,6,7,7,6,6,7,7
Alabama,Otolaryngology,,Pathology/AP or CP,1007300C2,,,1,1,,,,,,
Alabama,Otolaryngology,,Pediatrics,1007320C0,26,26,26,26,24,24,24,24,25,25
Alabama,Otolaryngology,,Phys Medicine & Rehab,1007340C0,4,4,4,4,4,4,4,4,,
Alabama,Otolaryngology,,Plastic Surgery (Integrated),1007362C0,2,2,2,2,2,2,2,2,1,1
Alabama,Otolaryngology,Psychiatry,Psychiatry/Research,1007400C1,,,1,1,2,2,1,1,2,2
Alabama,Otolaryngology,Psychiatry,Interventional Radiology (Integ),1007416A0,2,2,2,2,2,2,2,2,2,2
Alabama,Otolaryngology,Psychiatry,Radiology-Diagnostic,1007420A0,9,9,9,9,9,9,9,9,9,9
Alabama,Otolaryngology,Psychiatry,Radiology-Diagnostic,1007420R0,1,1,,,,,,,,
Alabama,Radiation Oncology,,General Surgery,1007440C0,7,7,6,6,6,6,6,6,7,7
Alabama,Radiation Oncology,,Gen Surg/Integ 4/3 CT Surgery,1007440C1,1,1,1,1,1,1,1,1,1,1
Alabama,Radiation Oncology,,Surgery-Preliminary,1007440P2,2,0,2,2,2,0,1,1,1,1
Alabama,Radiation Oncology,,Vascular Surgery,1007451C0,1,1,1,1,1,1,1,1,1,1
Alabama,Radiation Oncology,,Medicine-Pediatrics,1007700C0,4,4,4,4,4,4,4,4,4,4
Alabama,Radiation Oncology,Pediatrics-Medical Genetics,Medicine-Medical Genetics,1007766C0,,,1,1,,,1,0,1,0
Alabama,U Alabama Med Ctr-Birmingham,Birmingham,Dermatology/Alabama First Track,1007080R0,,,,,,,1,1,,
Alabama,Phys Medicine & Rehab,,Radiation Oncology,1007430R0,,,,,,,1,1,,
Alabama,Huntsville,,Family Medicine,2947120C0,12,12,12,12,12,11,12,12,12,12
Alabama,Huntsville,Internal Medicine,Medicine-Preliminary,2947140P0,1,0,1,1,,,,,,
Alabama,Huntsville,Internal Medicine,Psychiatry,2947400C0,6,6,6,6,,,,,,
Alabama,Internal Medicine,,Medicine-Preliminary,1009140P0,,,2,2,5,1,6,0,6,6
Alabama,Internal Medicine,,Psychiatry,1009400C0,3,3,3,3,,,,,,
Alabama,Mobile,Emergency Medicine,Family Medicine,1852120C0,6,4,6,3,6,4,6,2,6,3
